doj,doi,srcid,destid,srcid_region,destid_region,srcid_tier,destid_tier,cumsum_seatcount,cumsum_searchcount,dbd
3/1/2023,1/30/2023,45,46,Karnataka,Tamil Nadu,Tier 1,Tier 1,8,76,30
3/1/2023,1/30/2023,46,45,Tamil Nadu,Karnataka,Tier 1,Tier 1,8,70,30
3/1/2023,1/30/2023,45,47,Karnataka,Andhra Pradesh,Tier 1,Tier 1,4,142,30
3/1/2023,1/30/2023,47,45,Andhra Pradesh,Karnataka,Tier 1,Tier 1,0,68,30
3/1/2023,1/30/2023,46,9,Tamil Nadu,Tamil Nadu,Tier 1,Tier2,9,162,30
3/1/2023,1/30/2023,9,46,Tamil Nadu,Tamil Nadu,Tier2,Tier 1,0,63,30
3/1/2023,1/30/2023,46,48,Tamil Nadu,Tamil Nadu,Tier 1,Tier2,0,309,30
3/1/2023,1/30/2023,48,46,Tamil Nadu,Tamil Nadu,Tier2,Tier 1,0,165,30
3/1/2023,1/30/2023,45,9,Karnataka,Tamil Nadu,Tier 1,Tier2,3,84,30
3/1/2023,1/30/2023,9,45,Tamil Nadu,Karnataka,Tier2,Tier 1,0,39,30
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3/1/2023,2/1/2023,47,3,Andhra Pradesh,Andhra Pradesh,Tier 1,Tier2,0,30,28
3/1/2023,2/1/2023,45,5,Karnataka,Andhra Pradesh,Tier 1,Tier2,0,140,28
3/1/2023,2/1/2023,36,37,Delhi,Rest of North,Tier2,Tier 1,0,15,28
3/1/2023,2/1/2023,46,47,Tamil Nadu,Andhra Pradesh,Tier 1,Tier 1,0,80,28
3/1/2023,2/1/2023,5,45,Andhra Pradesh,Karnataka,Tier2,Tier 1,0,50,28
3/1/2023,2/1/2023,46,20,Tamil Nadu,Tamil Nadu,Tier 1,Tier2,10,115,28
3/1/2023,2/1/2023,3,47,Andhra Pradesh,Andhra Pradesh,Tier2,Tier 1,0,0,28
3/1/2023,2/1/2023,20,46,Tamil Nadu,Tamil Nadu,Tier2,Tier 1,0,145,28
3/1/2023,2/1/2023,19,2,Madhya Pradesh,Maharashtra and Goa,Tier 1,Tier 1,0,70,28
3/1/2023,2/1/2023,27,36,Rest of North,Delhi,Tier2,Tier2,0,100,28
3/1/2023,2/1/2023,14,30,Maharashtra and Goa,Maharashtra and Goa,Tier2,Tier 1,0,125,28
3/1/2023,2/1/2023,45,39,Karnataka,Tamil Nadu,Tier 1,Tier 3,0,148,28
3/1/2023,2/1/2023,39,45,Tamil Nadu,Karnataka,Tier 3,Tier 1,0,48,28
3/1/2023,2/1/2023,36,41,Delhi,Rest of North,Tier2,Tier 4,84,1500,28
3/1/2023,2/1/2023,2,21,Maharashtra and Goa,Maharashtra and Goa,Tier 1,Tier2,0,40,28
3/1/2023,2/1/2023,8,47,Andhra Pradesh,Andhra Pradesh,Tier2,Tier 1,5,15,28
3/1/2023,2/1/2023,47,6,Andhra Pradesh,Andhra Pradesh,Tier 1,Tier 3,0,5,28
3/1/2023,2/1/2023,41,36,Rest of North,Delhi,Tier 4,Tier2,52,348,28
3/1/2023,2/1/2023,2,1,Maharashtra and Goa,Maharashtra and Goa,Tier 1,Tier2,0,90,28
3/1/2023,2/1/2023,37,36,Rest of North,Delhi,Tier 1,Tier2,0,8,28
3/1/2023,2/1/2023,47,30,Andhra Pradesh,Maharashtra and Goa,Tier 1,Tier 1,0,75,28
3/1/2023,2/1/2023,47,8,Andhra Pradesh,Andhra Pradesh,Tier 1,Tier2,0,15,28
3/1/2023,2/1/2023,22,36,Rest of North,Delhi,Tier2,Tier2,10,155,28
3/1/2023,2/1/2023,6,47,Andhra Pradesh,Andhra Pradesh,Tier 3,Tier 1,0,90,28
3/1/2023,2/1/2023,46,33,Tamil Nadu,Tamil Nadu,Tier 1,Tier 3,0,75,28
3/1/2023,2/1/2023,45,44,Karnataka,Tamil Nadu,Tier 1,Tier2,5,90,28
3/1/2023,2/1/2023,33,46,Tamil Nadu,Tamil Nadu,Tier 3,Tier 1,0,40,28
3/1/2023,2/1/2023,21,2,Maharashtra and Goa,Maharashtra and Goa,Tier2,Tier 1,0,65,28
3/1/2023,2/1/2023,36,22,Delhi,Rest of North,Tier2,Tier2,0,20,28
