route_key,final_seatcount
2025-02-11_46_45,3475.9962034729338
2025-01-20_17_23,1681.2620607452786
2025-01-08_02_14,1128.002911249515
2025-01-08_08_47,1133.3027100045958
2025-01-08_09_46,3504.131723196522
2025-01-21_45_05,1381.823582856595
2025-02-26_47_08,1072.7207975489914
2025-01-03_02_19,2387.7498175671108
2025-02-11_02_30,1637.1380694911923
2025-01-25_05_45,2113.4772435331515
2025-02-04_36_07,1235.3757465711412
2025-01-28_02_14,1226.1172756054184
2025-01-14_47_46,1659.6420203379998
2025-02-04_02_16,1383.4557882563577
2025-02-20_47_43,2608.1079164481566
2025-01-03_19_30,1723.0143591910262
2025-02-27_22_36,1397.7905966450526
2025-02-10_47_08,1102.7462427498094
2025-01-27_47_02,1474.8617803152479
2025-01-27_22_36,1395.0855670283186
2025-01-10_36_27,1294.3197752912943
2025-02-11_46_15,1367.7433087690702
2025-02-28_42_45,1719.8345598670046
2025-01-22_30_02,1562.2995939844732
2025-01-17_09_46,5429.807502177377
2025-01-29_46_48,3342.06816515847
2025-02-27_11_36,2430.8614062354304
2025-02-19_48_45,1511.7345806564542
2025-01-27_23_13,1743.6052179966584
2025-01-14_28_45,2503.219389462613
2025-01-27_46_18,1373.8503925056507
2025-02-14_47_05,5101.822299196485
2025-02-20_17_23,1194.2213532355104
2025-02-07_23_13,2180.849869533141
2025-01-27_36_12,1532.399510165965
2025-01-11_16_02,1414.1966307187838
2025-02-04_46_33,906.7960851915614
2025-01-11_48_46,3647.728545302527
2025-01-24_16_02,1344.6880409318974
2025-01-12_23_13,2063.190128728041
2025-02-07_46_18,2830.942990002267
2025-02-26_09_46,3507.8573985008065
2025-02-07_47_05,4600.733141649014
2025-01-18_36_22,1448.3191846169946
2025-02-07_02_01,1619.992997683463
2025-01-01_46_26,2066.1149224048822
2025-02-08_26_46,2078.2156041259573
2025-01-09_46_44,3893.901028962163
2025-01-04_02_21,1464.9500682421126
2025-02-08_27_36,1798.9959103800293
2025-01-03_05_47,2210.9081766236022
2025-01-09_26_46,1494.3312575542238
2025-01-14_20_46,1791.1426834241568
2025-02-25_13_23,1637.273805604887
2025-02-04_45_34,1337.9358009338225
2025-01-20_05_45,3014.754320921703
2025-02-15_46_15,1740.3973640287277
2025-01-16_19_02,1516.2133409834823
2025-01-07_22_36,1185.4576117100341
2025-01-21_32_19,1890.7633620717781
2025-02-13_32_19,1633.71191052215
2025-02-27_02_40,2018.4933548716242
